,Summary
2029,"After their plane crashes in Alaska, six oil workers are led by a skilled huntsman to survival, but a pack of merciless wolves haunts their every step."
2030,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates."
2031,"Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord."
2032,"Two bikers head from L.A. to New Orleans through the open country and desert lands, and along the way they meet a man who bridges a counter-culture gap of which they had been unaware."
2033,A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.
2034,"A chronicle of one woman's 1,100-mile solo hike undertaken as a way to recover from a recent personal tragedy."
2035,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.
2036,"Five Vermont state troopers, avid pranksters with a knack for screwing up, try to save their jobs and out-do the local police department by solving a crime."
2037,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
2038,"Axel Foley, while investigating a car theft ring, comes across something much bigger than that: the same men who killed his boss are running a counterfeit money ring out of a theme park in Los Angeles."
2039,"When a struggling comedian reluctantly returns home for the holidays, not only must she deal with her eccentric family, but she ultimately faces a life-changing decision about her special-needs brother."
2040,"Operation Market Garden, September 1944: The Allies attempt to capture several strategically important bridges in the Netherlands in the hope of breaking the German lines."
2041,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
2042,The only way to save Earth from catastrophe is to drill down to the core and set it spinning again.
2043,The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.
2044,"Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross-country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins."
2045,"As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other."
2046,Follows a Formula One driver who comes out of retirement to mentor and team with a younger driver.
2047,"After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Las Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blart answers."
2048,"A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her."
2049,"Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it's gone forever."
2050,A team of secret agents set out to track down the Nazi officer who masterminded the Holocaust.
2051,"A research vessel finds a missing ship, commanded by a mysterious scientist, on the edge of a black hole."
2052,"In Bermuda, two amateur treasure-hunting divers have a run-in with local criminals when they inadvertently discover the secret cargo of a World War II shipwreck."
2053,"A comet wipes out most of life on Earth, leaving two Valley Girls fighting against cannibal zombies and a sinister group of scientists."
2054,Socially frustrated Barry Egan calls a phone-sex line to curb his loneliness. Little does he know it will land him in deep trouble and will jeopardize his burgeoning romance with the mysterious Lena.
2055,A diamond smuggling investigation leads James Bond to Las Vegas where he uncovers an evil plot involving a rich business tycoon.
2056,"When a debt puts a young man's life in danger, he turns to putting a hit out on his evil mother in order to collect the insurance."
2057,"When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners."
2058,"The lives of a young couple intertwine with a much older man, as he reflects back on a past love."
2059,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence."
2060,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
2061,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
2062,Beyoncé in performance at her record-breaking RENAISSANCE World Tour and the creative mastermind behind it.
2063,A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.
2064,An overstressed suburbanite and his neighbors are convinced that the new family on the block is part of a murderous Satanic cult.
2065,A man's story of leaving New York in 1967 to bring beer to his childhood buddies in the Army while they are fighting in Vietnam.
2066,"Searching for a cure to Alzheimer's disease, a group of scientists on an isolated research facility become the prey, as a trio of intelligent sharks fight back."
2067,"War vet Nick Gutman is forced to take a job with his dad's quirky garbage men buddies. When tasked to destroy canceled toys before Christmas - Nick takes on the secret identity ""Jingle Smells"" and becomes a Robin Hood of the Holidays."
2068,"When two young members of feuding families meet, forbidden love ensues."
2069,"When aspiring actor Greg Sestero meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true."
2070,"A puppet is brought to life by a fairy, who assigns him to lead a virtuous life in order to become a real boy."
2071,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
2072,Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides.
2073,The most popular kid on campus meets a beautiful journalist who makes him realize that maybe he's afraid to graduate.
2074,"Misfits form their own opposing team to an elite peewee football team, coached by the elite team coach's brother."
2075,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him."
2076,"High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother."
2077,"Frustrated by the lack of intimacy in her relationship, a young schoolteacher goes through a series of intimidating and often violent sexual partners."
2078,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars."
2079,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families."
2080,Tough ex-con Corky and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.
2081,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
2082,Two young couples traveling across the backwoods of Texas searching for urban legends of murder end up as prisoners of a bizarre and sadistic backwater family of serial killers.
2083,"The story of Linda Lovelace, who is used and abused by the porn industry at the behest of her coercive husband before taking control of her life."
2084,A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.
2085,"When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies."
2086,Life for an entrepreneur and his American family begins to take a twisted turn after moving into an English country manor.
2087,"Maria, an alienated high-school student, has her life turned upside down when she switches places with her sinister mirror image."
2088,A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.
2089,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night."
2090,"A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras, they learn they're being stalked by a nefarious demon."
2091,"A destitute young man, raised by racist skinheads and notorious among white supremacists, turns his back on hatred and violence to transform his life, with the help of a black activist and the woman he loves."
2092,"A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand."
2093,"After moving with her mother to a small town, a teenager finds that an accident happened in the house at the end of the street. Things get more complicated when she befriends a boy. A double murder is not an accident."
2094,"A one-time rodeo star and washed-up horse breeder takes a job to bring a man's young son home and away from his alcoholic mom. On their journey, the horseman finds redemption through teaching the boy what it means to be a good man."
2095,The early years of the reign of Elizabeth I of England and her difficult task of learning what is necessary to be a monarch.
2096,"At the end of World War II, a German soldier is looking for his daughter while an SS troop is looking for a Jewish treasure."
2097,"A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional."
2098,A French woman and her young daughter open up a chocolate shop in a small remote village that shakes up the rigid morality of the community.
2099,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son."
2100,A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.
2101,"A young videographer answers an online ad for a one-day job in a remote town to record the last messages of a dying man. When he notices the man's odd behavior, he starts to question his intentions."
2102,"After being left at the altar, an embittered police officer preys on a stranded tourist - while a deadly tiger in the area adds another layer of menace."
2103,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse."
2104,A celebrated military contractor returns to the site of his greatest career triumphs and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.
2105,"The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings."
2106,"Dorothy, saved from a psychiatric experiment by a mysterious girl, is somehow called back to Oz when a vain witch and the Nome King destroy everything that makes the magical land beautiful."
2107,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
2108,A Korean-American office worker and his Indian-American stoner friend embark on a quest to satisfy their desire for White Castle burgers.
2109,A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.
2110,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.
2111,A runaway slave forges through the swamps of Louisiana on a tortuous journey to escape plantation owners that nearly killed him.
2112,"A husband and wife in their 30s decide to quit their jobs, live as free spirits and cruise America in a Winnebago."
2113,"A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities."
2114,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.
2115,A pair of U.S. Navy fighter pilots risk their lives during the Korean War and become some of the Navy's most celebrated wingmen.
2116,Updated version of a 19th century romance set on an island in the Finland archipelago sea.
2117,"A woman is kidnapped by a stranger on a routine flight. Threatened by the potential murder of her father, she is pulled into a plot to assist her captor in a political assassination."
2118,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
2119,An assassin hides out in Italy for one last assignment.
2120,"A group of New Yorkers caught up in their romantic-sexual milieu converge at an underground salon infamous for its blend of art, music, politics, and carnality."
2121,Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.
2122,A computer hacker is abducted into the digital world and forced to participate in gladiatorial games where his only chance of escape is with the help of a heroic security program.
2123,"An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films."
2124,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
2125,"A young woman, studying to be a vet, develops a craving for human flesh."
2126,A CIA agent goes on the run after a defector accuses her of being a Russian spy.
2127,"As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom."
2128,This Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.
2129,"A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed."
2130,"James Bond investigates the mid-air theft of a space shuttle, and discovers a plot to commit global genocide."
2131,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.
2132,"As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
2133,A British student at a 1960s American high school must prove himself to the leader of a girls' gang whose members can only date greasers.
2134,"Two women who have been unjustly confined to a prison planet plot their escape, all the while having to put up with lesbian guards, crazed wardens and mutant rodents."
2135,"The Predator returns to Earth, this time to stake a claim on the war-torn streets of a dystopian Los Angeles."
2136,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever."
2137,The story of the legendary British outlaw portrayed with the characters as anthropomorphic animals.
2138,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness."
2139,"The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target."
2140,"During the bright Nordic summer, a group of children reveal their dark and mysterious powers when the adults aren't looking. In this original and gripping supernatural thriller, playtime takes a dangerous turn."
2141,Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.
2142,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty."
2143,A 12-year-old tech prodigy's science experiment goes awry and he forges a telepathic connection with his dog. The duo join forces and use their unique perspectives on life to comically overcome complications of family and school.
2144,"After spending the night together on the night of their college graduation Dexter and Emma are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day."
2145,"A miner trapped in a cave-in resurfaces, and upon discovering mankind has been wiped out in a nuclear holocaust, sets out to find other survivors."
2146,"A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse."
2147,A small-time reporter tries to convince the police she saw a murder in the apartment across from hers.
2148,"During an ocean dive, Miami gumshoe Tony Rome (Frank Sinatra) finds a woman's body with her feet encased in a concrete block and sets out to solve the murder case."
2149,Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.
2150,"A boy kills a man and accuses his twin brother of the murder, and the innocent brother ends up institutionalized, while his psychotic twin goes free. 10 years later, the innocent twin escapes, which triggers his brother into killing again."
2151,"Number 5 of a group of experimental robots in a lab is electrocuted, suddenly becomes intelligent, and escapes."
2152,"On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident."
2153,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam."
2154,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought."
2155,"When the aging Meyer Lansky is investigated by the Feds, who suspect he has stashed away millions of dollars over half a century, the retired gangster reveals the untold truth about his life as the boss of the National Crime Syndicate."
2156,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
2157,"After 48 years of hiding, Leatherface returns to terrorize a group of idealistic young friends who accidentally disrupt his carefully shielded world in a remote Texas town."
2158,"In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state."
2159,The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.
2160,"A teen girl is diagnosed with a reproductive condition that upends her plans to have a sex life, propelling her to explore unusual methods. Her relationships are challenged with everyone in her life, but most importantly, herself."
2161,Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.
2162,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source."
2163,"A physically perfect but innocent man goes in search of his long-lost twin brother, who is short, a womanizer, and small-time crook."
2164,A harmless game of Truth or Dare among friends turns deadly when someone - or something - begins to punish those who tell a lie or refuse the dare.
2165,"Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw."
2166,Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.
2167,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions."
2168,"When the owner of a struggling used car lot is killed, it's up to the lot's hot-shot salesman to save the property from falling into the hands of the owner's ruthless brother and used-car rival."
2169,"After being released from prison, Billy is set to visit his parents with his wife, whom he does not actually have. This provokes Billy to act out, as he kidnaps a girl and forces her to act as his wife for the visit."
2170,A failing ice hockey team finds success with outrageously violent hockey goonery.
2171,Plot under wraps.
2172,"Fifteen years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process."
2173,A group of teenagers look to save their town from an invasion of North Korean soldiers.
2174,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat."
2175,"Labeled an outcast by his brainy family, a bouncer overcomes long odds to lead a team of under performing misfits to semi-pro hockey glory, beating the crap out of everything that stands in his way."
2176,Flighty teenage girl Buffy Summers learns that she is her generation's destined battler of vampires.
2177,A dramatization of the battle that was widely heralded as a turning point of the Pacific Theatre of World War II.
2178,Drea and Eleanor agree to go after one another's bullies.
2179,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within."
2180,"Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate."
2181,An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.
2182,"A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue."
2183,"After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world."
2184,"In the midst of the Gulf War, soldiers are kidnapped and brainwashed for sinister purposes."
2185,A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.
2186,"A morgue technician successfully reanimates the body of a little girl, but to keep her breathing, she will need to harvest biological materials from pregnant women. When the girl's mother, a nurse, discovers her baby alive, they enter into a deal that forces them both down a dark path of no return."
2187,Eighteenth-century Spanish Jesuits try to protect a remote South American tribe in danger of falling under the rule of pro-slavery Portugal.
2188,An evil high-fashion designer plots to steal dalmatian puppies in order to make an extravagant fur coat but creates an extravagant mess instead.
2189,"Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world."
2190,A former Marine and his old war buddy face off against the Mexican cartel behind the disappearance of his daughter.
2191,A new assignment forces a top spy to team up with his football hooligan brother.
2192,"England, 1850s. A master criminal aims to rob a train of a large sum of gold. Security is incredibly tight and the task seems an impossible one. However, he has a plan and just the right people to carry it out."
2193,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.
2194,"Competing in a Christmas baking competition in Belgravia, a Chicago baker bumps into the prince's fiancée--who looks just like her. They switch lives for two days."
2195,"An overworked mother and her daughter did not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday."
2196,Two English comic book geeks traveling across the U.S. encounter an alien outside Area 51.
2197,"In 1920s Los Angeles, a bedridden patient in a hospital captivates a young girl with a fantastic tale of heroes, myths, and villains on a desert island."
2198,Young love and childish fears highlight a year in the life of a turn-of-the-century family.
2199,"Jim and his friends are now in college, and they decide to meet up at the beach house for some fun."
2200,An elite hitman teaches his trade to an apprentice who has a connection to one of his previous victims.
2201,"In a post-apocalyptic world, six soldiers on a covert mission must transport a mysterious package across a frozen archipelago. Noomi Rapace stars."
2202,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country."
2203,"In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor."
2204,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss."
2205,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past."
2206,A businessman and his friends are captured by a sadistic judge and his equally odd family in a bizarre mansion in the backwoods.
2207,"On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station-but when the hitman turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs."
2208,A delusional young man strikes up an unconventional relationship with a doll he finds on the Internet.
2209,"Christian - a millionaire heir, meets Sigrid - a young student, on a dating app. They hit it off quickly, but there's only one problem: Christian lives with Frank, a man who dresses up and constantly acts like a dog."
2210,"In a highly regimented boarding school, a pair of students discover that things are not as they seem."
2211,James Bond is sent to investigate a KGB policy to kill all enemy spies and uncovers an arms deal that potentially has major global ramifications.
2212,A Chicago playwright uses self-hypnosis to travel back in time and meet the actress whose vintage portrait hangs in a grand hotel.
2213,A recounting of the chaotic events that occurred at Dallas' Parkland Memorial Hospital on the day President John F. Kennedy was assassinated.
2214,"Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop."
2215,An orphaned brontosaurus teams up with other young dinosaurs in order to reunite with their families in a valley.
2216,"On a trip to her hometown, workaholic Ally reminisces with her ex Sean and starts to question everything about the person she's become. Things only get more confusing when she meets Cassidy, who reminds her of the person she used to be."
2217,Two NYC cops arrest a Yakuza member and must escort him when he's extradited to Japan.
2218,Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.
2219,An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.
2220,"A wide variety of eccentric competitors participate in a wild and illegal cross-country road race. However, the eccentric entrants will do anything to win the road race, including low-down, dirty tricks."
2221,A sled dog struggles for survival in the wilds of the Yukon.
2222,"Jewish brothers in German-occupied Eastern Europe escape into a Belorussian forest, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants."
2223,"A young thief seeking revenge for his brother's death is trained by the once-great, aging Zorro, who is pursuing his own vengeance."
2224,Three generations of women fight back against those who could take everything from them.
2225,"Stranded on an island, a group of schoolboys degenerate into savagery."
2226,Wendy Christensen and a group of teens who escaped a fatal roller-coaster crash face a bloody date with Death.
2227,"Upon arriving to a small town, a drifter quickly gets into trouble with the local authorities - and the local women - after he robs a bank."
2228,"In the darkness of a smoke sauna, women share their innermost secrets and intimate experiences, washing off the shame trapped in their bodies and regaining their strength through a sense of communion."
2229,"Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires."
2230,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
2231,"When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back."
2232,"As Hercule Poirot enjoys a luxurious cruise down the Nile, a newlywed heiress is found murdered on board. Can Poirot identify the killer before the ship reaches the end of its journey?"
2233,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
2234,"After her husband abruptly asks for a divorce, a middle-aged mother returns to college in order to complete her degree."
2235,"Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption."
2236,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
2237,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
2238,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.
2239,A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.
2240,"A drama based on a Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets have some unforeseen and long-reaching effects."
2241,"A retired Irish paramilitary witnesses the fatal shooting of his pregnant wife by an SAS officer. After outwitting the SAS, now wounded, and presumed dead, he escapes, taking his revenge to the dark and paranoid streets of 1970's London."
2242,"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta."
2243,A Group of some people hijacked the jail in the city and demanding the release of ghost or elsewhere all the criminals will be set free.
2244,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo."
2245,"Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth; along the way he reconnects with his estranged family."
2246,"A bookish CIA researcher in Manhattan finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust."
2247,"Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss."
2248,Sequel of Avatar: Suyun yolu (2022). The plot is unknown.
2249,"A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew."
2250,"Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love."
2251,"The journey that led to Charles Dickens' creation of ""A Christmas Carol,"" a timeless tale that would redefine Christmas."
2252,Teenage explorer Dora leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.
2253,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly."
2254,"Despite Jigsaw's death, and in order to save the lives of two of his colleagues, Lieutenant Rigg is forced to take part in a new game, which promises to test him to the limit."
2255,Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.
2256,"When a Las Vegas performer-turned-snitch named Buddy Israel decides to turn state's evidence and testify against the mob, it seems that a whole lot of people would like to make sure he's no longer breathing."
2257,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001).
2258,The untold true story of the legendary detectives who brought down Bonnie and Clyde.
2259,"Laura Palmer's harrowing final days are chronicled one year after the murder of Teresa Banks, a resident of Twin Peaks' neighboring town."
2260,A brother and sister driving home through isolated countryside for spring break encounter a flesh-eating creature which is in the midst of its ritualistic eating spree.
2261,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself."
2262,A preteen girl lives as a prostitute in New Orleans in 1917.
2263,"Teenagers at a juvenile detention center, under the leadership of their counselor, gain self-esteem by playing football together."
2264,"A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon."
2265,"Late one night, two young toughs hold hostage the passengers in one car of a New York subway train."
2266,A young boy learns that a superhero who was thought to have died after an epic battle twenty-five years ago may in fact still be alive.
2267,"A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years."
2268,"A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos."
2269,"A prodigious young soccer player from rural Queenstown must face the return of his washed-up, pro-footballer father, and navigate the choice between his team's success and his own dreams. All that and more"
2270,"In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission."
2271,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires."
2272,"When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously."
2273,"In late 1930s Bay City, a brooding, down on his luck detective is hired to find the ex-lover of a glamorous heiress."
2274,"When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems."
2275,A homicide detective is pushed to the brink of his moral and physical limits as he tangles with a ferociously skilled hired killer who specializes in torture and pain.
2276,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
2277,"The Puppeteer, a convicted murderer on death row, has always maintained his innocence, claiming that it was an evil force that controlled his body as he slaughtered his victims."
2278,"In need of quick money, a fallen former cop recruits a hard-bitten ex-con and a debt-ridden nightclub singer to pull off a bank job. But as the animosity between them boils over, the entire plan threatens to implode."
2279,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
2280,A private investigator is hired by a man who calls himself Louis Cyphre to track down a singer named Johnny Favorite. But the investigation takes an unexpected and somber turn.
2281,"Borat returns to America from Kazakhstan to America, this time to reveal more about the American culture, the COVD-19 pandemic, and the political elections."
